trip_id,lorry_id,driver_id,class,fuel,corridor,depart,arrive,year,month,day,hour,distance_km,travel_minutes,avg_speed_kmh,idle_seconds,load_ratio,co_g,co2_g,nox_g,ch4_g,fuel_l,co2_baseline_g,fuel_baseline_l,idle_baseline_seconds,co2_saved_g,fuel_saved_l
16,LRQ-0010,DRV-330,Electric rigid (BEV),electric,North-South Expressway (KL-Penang),2026-04-01T17:32:00,2026-04-01T22:10:36.931208,2026,4,1,17,295.24,278.6,63.6,620.8,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.9,0.0,0.0
17,LRQ-0010,DRV-330,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T20:38:00,2026-04-02T01:13:56.351178,2026,4,1,20,214.01,275.9,46.5,347.9,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.1,0.0,0.0
18,LRQ-0011,DRV-690,Rigid 2-axle (Euro 5),diesel,KLIA Air-Freight Link,2026-04-01T15:01:00,2026-04-01T16:00:47.139122,2026,4,1,15,43.8,59.8,44.0,269.6,0.72,205.15,60073.9,739.72,3.419,26.37,66850.4,29.35,321.0,6776.5,2.97
19,LRQ-0012,DRV-919,Prime mover + trailer (Euro 3),diesel,North-South Expressway (KL-JB),2026-04-01T05:43:00,2026-04-01T10:00:34.941632,2026,4,1,5,296.43,257.6,69.0,419.0,1.0,2368.83,702839.6,8654.37,39.48,209.8,734031.8,219.11,503.7,31192.2,9.31
20,LRQ-0013,DRV-956,Prime mover + trailer (Euro 3),diesel,East Coast (KL-Kuantan),2026-04-01T06:11:00,2026-04-01T10:34:34.361583,2026,4,1,6,214.01,263.6,48.7,342.8,0.83,2603.67,773345.1,9522.53,43.395,230.85,820211.3,244.84,392.1,46866.3,13.99
21,LRQ-0013,DRV-956,Prime mover + trailer (Euro 3),diesel,KLIA Air-Freight Link,2026-04-01T19:11:00,2026-04-01T20:25:54.856090,2026,4,1,19,43.8,74.9,35.1,441.2,0.94,941.58,277754.1,3420.11,15.693,82.91,576395.7,172.06,678.9,298641.6,89.15
22,LRQ-0014,DRV-777,Rigid 3-axle (Euro 4),diesel,KLIA Air-Freight Link,2026-04-01T20:30:00,2026-04-01T21:35:27.062194,2026,4,1,20,43.8,65.5,40.2,236.1,0.98,413.74,122063.5,1503.02,6.896,45.55,167177.1,62.38,313.9,45113.7,16.83
23,LRQ-0014,DRV-777,Rigid 3-axle (Euro 4),diesel,North-South Expressway (KL-Penang),2026-04-01T18:42:00,2026-04-01T23:15:28.864046,2026,4,1,18,295.24,273.5,64.8,484.0,0.53,1161.06,343729.8,4232.49,19.351,128.26,434864.5,162.26,632.7,91134.7,34.01
24,LRQ-0014,DRV-777,Rigid 3-axle (Euro 4),diesel,Port Klang - KL Distribution,2026-04-01T10:44:00,2026-04-01T11:49:46.217193,2026,4,1,10,36.51,65.8,33.3,942.6,0.53,299.29,85210.8,1049.24,4.988,31.8,115106.9,42.95,1200.8,29896.2,11.16
25,LRQ-0015,DRV-182,Rigid 2-axle (Euro 5),diesel,North-South Expressway (KL-Penang),2026-04-01T17:35:00,2026-04-01T22:08:55.883879,2026,4,1,17,295.24,273.9,64.7,339.7,0.87,856.92,253825.5,3125.46,14.282,111.42,294509.6,129.28,422.3,40684.2,17.86
26,LRQ-0015,DRV-182,Rigid 2-axle (Euro 5),diesel,Port Klang - KL Distribution,2026-04-01T19:16:00,2026-04-01T20:33:06.440286,2026,4,1,19,36.51,77.1,28.4,1122.8,0.36,263.47,74741.1,920.32,4.391,32.81,299322.3,131.4,2035.5,224581.2,98.59
27,LRQ-0016,DRV-344,Rigid 3-axle (B20 biodiesel),biodiesel-b20,Port Klang - KL Distribution,2026-04-01T17:52:00,2026-04-01T19:13:50.778296,2026,4,1,17,36.51,81.8,26.8,1348.8,0.91,400.52,114172.1,1405.85,6.675,53.25,690110.3,321.88,2839.0,575938.2,268.63
28,LRQ-0016,DRV-344,Rigid 3-axle (B20 biodiesel),biodiesel-b20,Port Klang - KL Distribution,2026-04-01T19:12:00,2026-04-01T20:29:40.314660,2026,4,1,19,36.51,77.7,28.2,1156.6,0.59,344.57,98683.8,1215.14,5.743,46.03,396419.6,184.9,2087.2,297735.8,138.87
29,LRQ-0017,DRV-261,Rigid 2-axle (Euro 5),diesel,North-South Expressway (KL-Penang),2026-04-01T20:48:00,2026-04-02T00:55:46.054938,2026,4,1,20,295.24,247.8,71.5,354.3,0.74,768.4,227467.4,2800.9,12.807,99.85,234683.7,103.02,406.9,7216.3,3.17
30,LRQ-0017,DRV-261,Rigid 2-axle (Euro 5),diesel,Port Klang - KL Distribution,2026-04-01T11:08:00,2026-04-01T12:13:25.888730,2026,4,1,11,36.51,65.4,33.5,1062.8,0.49,184.25,51171.9,630.1,3.071,22.46,59956.6,26.32,1306.1,8784.7,3.86
31,LRQ-0017,DRV-261,Rigid 2-axle (Euro 5),diesel,North-South Expressway (KL-Penang),2026-04-01T19:31:00,2026-04-01T23:54:26.872106,2026,4,1,19,295.24,263.4,67.2,463.6,0.92,861.07,254542.0,3134.29,14.351,111.74,291444.5,127.94,566.9,36902.5,16.2
32,LRQ-0018,DRV-308,Rigid 3-axle (Euro 4),diesel,Port Klang - KL Distribution,2026-04-01T12:19:00,2026-04-01T13:13:59.977164,2026,4,1,12,36.51,55.0,39.8,559.3,0.8,264.99,76361.4,940.27,4.417,28.49,84184.6,31.41,662.9,7823.2,2.92
33,LRQ-0019,DRV-109,Rigid 2-axle (Euro 5),diesel,Port Klang - KL Distribution,2026-04-01T18:53:00,2026-04-01T20:09:19.807531,2026,4,1,18,36.51,76.3,28.7,1019.1,0.37,271.28,77396.2,953.01,4.521,33.98,452997.1,198.86,2076.3,375600.9,164.88
34,LRQ-0019,DRV-109,Rigid 2-axle (Euro 5),diesel,Port Klang - KL Distribution,2026-04-01T19:41:00,2026-04-01T20:55:17.729837,2026,4,1,19,36.51,74.3,29.5,1018.7,0.96,310.41,88280.1,1087.03,5.174,38.75,281896.6,123.75,1656.5,193616.5,84.99
35,LRQ-0019,DRV-109,Rigid 2-axle (Euro 5),diesel,North-South Expressway (KL-JB),2026-04-01T20:18:00,2026-04-02T00:21:38.253844,2026,4,1,20,296.43,243.6,73.0,221.6,0.95,816.36,242194.5,2982.25,13.606,106.32,247451.6,108.63,273.9,5257.1,2.31
36,LRQ-0020,DRV-782,Prime mover + trailer (Euro 3),diesel,North-South Expressway (KL-Penang),2026-04-01T18:30:00,2026-04-01T23:03:11.638428,2026,4,1,18,295.24,273.2,64.8,466.8,0.88,2445.92,725611.7,8934.77,40.765,216.6,917930.7,274.01,600.7,192318.9,57.41
37,LRQ-0020,DRV-782,Prime mover + trailer (Euro 3),diesel,North-South Expressway (KL-JB),2026-04-01T19:24:00,2026-04-02T00:03:54.262556,2026,4,1,19,296.43,279.9,63.5,650.8,0.69,2269.67,672286.0,8278.15,37.828,200.68,781349.2,233.24,874.0,109063.2,32.56
38,LRQ-0020,DRV-782,Prime mover + trailer (Euro 3),diesel,North-South Expressway (KL-JB),2026-04-01T09:17:00,2026-04-01T13:41:40.395844,2026,4,1,9,296.43,264.7,67.2,669.3,0.9,2328.68,689491.3,8490.01,38.811,205.82,740455.9,221.03,858.5,50964.6,15.21
39,LRQ-0021,DRV-491,Rigid 3-axle (Euro 4),diesel,North-South Expressway (KL-Penang),2026-04-01T13:18:00,2026-04-01T17:07:01.002518,2026,4,1,13,295.24,229.0,77.3,171.0,0.87,1171.84,348149.6,4286.92,19.531,129.91,349039.8,130.24,192.2,890.2,0.33
40,LRQ-0021,DRV-491,Rigid 3-axle (Euro 4),diesel,North-South Expressway (KL-Penang),2026-04-01T20:28:00,2026-04-02T00:32:20.370085,2026,4,1,20,295.24,244.3,72.5,209.5,0.91,1210.8,359559.7,4427.41,20.18,134.16,370746.1,138.34,239.9,11186.4,4.17
41,LRQ-0022,DRV-439,Electric rigid (BEV),electric,KLIA Air-Freight Link,2026-04-01T16:48:00,2026-04-01T17:55:46.346132,2026,4,1,16,43.8,67.8,38.8,400.9,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.4,0.0,0.0
42,LRQ-0022,DRV-439,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T17:20:00,2026-04-01T22:16:08.153669,2026,4,1,17,214.01,296.1,43.4,342.9,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.3,0.0,0.0
43,LRQ-0022,DRV-439,Electric rigid (BEV),electric,North-South Expressway (KL-JB),2026-04-01T12:14:00,2026-04-01T16:09:10.216387,2026,4,1,12,296.43,235.2,75.6,401.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0
44,LRQ-0023,DRV-825,Electric rigid (BEV),electric,Port Klang - KL Distribution,2026-04-01T15:45:00,2026-04-01T16:58:21.612182,2026,4,1,15,36.51,73.4,29.9,1233.4,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.6,0.0,0.0
45,LRQ-0023,DRV-825,Electric rigid (BEV),electric,KLIA Air-Freight Link,2026-04-01T17:50:00,2026-04-01T19:03:30.179909,2026,4,1,17,43.8,73.5,35.8,368.6,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.6,0.0,0.0
46,LRQ-0024,DRV-230,Electric rigid (BEV),electric,North-South Expressway (KL-JB),2026-04-01T20:08:00,2026-04-02T00:18:45.856497,2026,4,1,20,296.43,250.8,70.9,649.2,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.7,0.0,0.0
47,LRQ-0024,DRV-230,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T15:55:00,2026-04-01T20:03:05.414211,2026,4,1,15,214.01,248.1,51.8,117.1,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.2,0.0,0.0
48,LRQ-0024,DRV-230,Electric rigid (BEV),electric,KLIA Air-Freight Link,2026-04-01T08:29:00,2026-04-01T09:44:34.604335,2026,4,1,8,43.8,75.6,34.8,401.8,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.9,0.0,0.0
49,LRQ-0025,DRV-791,Prime mover + trailer (Euro 5),diesel,North-South Expressway (KL-JB),2026-04-01T18:09:00,2026-04-01T23:14:37.404317,2026,4,1,18,296.43,305.6,58.2,794.9,0.91,1749.16,517483.0,6371.99,29.153,214.55,770476.1,319.43,1167.2,252993.1,104.89
50,LRQ-0026,DRV-586,Rigid 2-axle (Euro 5),diesel,KLIA Air-Freight Link,2026-04-01T13:44:00,2026-04-01T14:36:00.634334,2026,4,1,13,43.8,52.0,50.5,20.3,0.54,164.73,48980.9,603.12,2.745,21.5,51142.1,22.45,22.9,2161.2,0.95
51,LRQ-0027,DRV-670,Electric rigid (BEV),electric,Port Klang - KL Distribution,2026-04-01T15:54:00,2026-04-01T17:06:29.206171,2026,4,1,15,36.51,72.5,30.2,1180.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1663.5,0.0,0.0
52,LRQ-0027,DRV-670,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T17:40:00,2026-04-01T22:36:52.349852,2026,4,1,17,214.01,296.9,43.3,387.1,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.7,0.0,0.0
53,LRQ-0028,DRV-365,Prime mover + trailer (Euro 3),diesel,KLIA Air-Freight Link,2026-04-01T06:15:00,2026-04-01T07:16:18.466954,2026,4,1,6,43.8,61.3,42.9,200.2,0.73,626.63,185484.4,2283.95,10.444,55.37,221628.3,66.16,249.2,36143.9,10.79
54,LRQ-0028,DRV-365,Prime mover + trailer (Euro 3),diesel,North-South Expressway (KL-Penang),2026-04-01T12:27:00,2026-04-01T16:11:58.950007,2026,4,1,12,295.24,225.0,78.7,159.0,0.82,2154.72,640716.2,7889.42,35.912,191.26,640308.9,191.14,172.6,-407.3,-0.12
55,LRQ-0028,DRV-365,Prime mover + trailer (Euro 3),diesel,Port Klang - KL Distribution,2026-04-01T08:44:00,2026-04-01T10:01:36.950540,2026,4,1,8,36.51,77.6,28.2,1106.7,0.61,803.72,233423.4,2874.24,13.395,69.68,1043923.7,311.62,2055.6,810500.2,241.94
56,LRQ-0029,DRV-492,Electric rigid (BEV),electric,Port Klang - KL Distribution,2026-04-01T06:03:00,2026-04-01T07:12:40.433393,2026,4,1,6,36.51,69.7,31.4,983.5,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.9,0.0,0.0
57,LRQ-0029,DRV-492,Electric rigid (BEV),electric,North-South Expressway (KL-Penang),2026-04-01T16:09:00,2026-04-01T20:50:22.902292,2026,4,1,16,295.24,281.4,63.0,714.3,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.4,0.0,0.0
58,LRQ-0030,DRV-460,Rigid 3-axle (Euro 4),diesel,East Coast (KL-Kuantan),2026-04-01T18:50:00,2026-04-01T23:59:38.239904,2026,4,1,18,214.01,309.6,41.5,292.2,0.7,1880.79,558770.5,6880.38,31.347,208.5,798356.0,297.89,395.2,239585.4,89.4
59,LRQ-0031,DRV-737,Prime mover + trailer (Euro 3),diesel,North-South Expressway (KL-JB),2026-04-01T10:55:00,2026-04-01T14:59:05.641382,2026,4,1,10,296.43,244.1,72.9,349.2,0.36,1858.22,551636.8,6792.54,30.97,164.67,560825.6,167.41,408.2,9188.8,2.74
60,LRQ-0032,DRV-358,Rigid 2-axle (Euro 5),diesel,East Coast (KL-Kuantan),2026-04-01T12:37:00,2026-04-01T16:41:02.409228,2026,4,1,12,214.01,244.0,52.6,100.1,0.65,777.14,231047.1,2844.98,12.952,101.43,236047.1,103.62,109.1,5000.0,2.19
61,LRQ-0032,DRV-358,Rigid 2-axle (Euro 5),diesel,North-South Expressway (KL-JB),2026-04-01T12:16:00,2026-04-01T16:09:41.174181,2026,4,1,12,296.43,233.7,76.1,312.4,0.62,723.8,214394.4,2639.93,12.063,94.12,214782.7,94.29,346.1,388.2,0.17
62,LRQ-0033,DRV-323,Rigid 2-axle (Euro 5),diesel,North-South Expressway (KL-Penang),2026-04-01T05:29:00,2026-04-01T09:36:59.508900,2026,4,1,5,295.24,248.0,71.4,192.5,0.93,829.93,246357.9,3033.51,13.832,108.15,264341.4,116.04,236.7,17983.6,7.89
63,LRQ-0033,DRV-323,Rigid 2-axle (Euro 5),diesel,North-South Expressway (KL-Penang),2026-04-01T10:22:00,2026-04-01T14:24:02.246538,2026,4,1,10,295.24,242.0,73.2,411.3,0.35,659.66,195075.3,2402.05,10.994,85.63,197597.0,86.74,474.3,2521.7,1.11
64,LRQ-0034,DRV-813,Prime mover + trailer (Euro 5),diesel,North-South Expressway (KL-Penang),2026-04-01T18:29:00,2026-04-01T22:59:10.719171,2026,4,1,18,295.24,270.2,65.6,285.9,0.78,1539.08,457138.5,5628.94,25.651,189.53,578373.4,239.79,403.2,121234.9,50.26
65,LRQ-0034,DRV-813,Prime mover + trailer (Euro 5),diesel,North-South Expressway (KL-Penang),2026-04-01T11:54:00,2026-04-01T15:45:06.275310,2026,4,1,11,295.24,231.1,76.7,334.0,1.0,1490.76,442454.2,5448.13,24.846,183.44,442877.8,183.61,370.6,423.6,0.18
66,LRQ-0034,DRV-813,Prime mover + trailer (Euro 5),diesel,KLIA Air-Freight Link,2026-04-01T08:36:00,2026-04-01T09:51:22.703755,2026,4,1,8,43.8,75.4,34.9,389.9,0.47,544.53,160725.0,1979.08,9.076,66.64,389482.7,161.48,628.7,228757.8,94.84
67,LRQ-0035,DRV-545,Rigid 3-axle (B20 biodiesel),biodiesel-b20,East Coast (KL-Kuantan),2026-04-01T14:18:00,2026-04-01T18:24:04.168984,2026,4,1,14,214.01,246.1,52.2,224.2,0.99,1061.31,315165.6,3880.77,17.688,147.0,321978.3,150.18,244.4,6812.7,3.18
68,LRQ-0035,DRV-545,Rigid 3-axle (B20 biodiesel),biodiesel-b20,Port Klang - KL Distribution,2026-04-01T17:36:00,2026-04-01T18:54:32.396533,2026,4,1,17,36.51,78.5,27.9,1150.4,0.49,343.43,98502.3,1212.9,5.724,45.94,596799.4,278.36,2413.0,498297.1,232.41
69,LRQ-0036,DRV-606,Prime mover + trailer (Euro 5),diesel,Port Klang - KL Distribution,2026-04-01T20:57:00,2026-04-01T22:01:52.536574,2026,4,1,20,36.51,64.9,33.8,780.5,0.88,431.95,125338.9,1543.35,7.199,51.96,193696.1,80.31,1051.3,68357.2,28.34
70,LRQ-0036,DRV-606,Prime mover + trailer (Euro 5),diesel,North-South Expressway (KL-Penang),2026-04-01T12:22:00,2026-04-01T16:09:59.664542,2026,4,1,12,295.24,228.0,77.7,339.7,0.72,1361.59,404095.6,4975.8,22.693,167.54,403877.3,167.44,369.3,-218.3,-0.09
71,LRQ-0036,DRV-606,Prime mover + trailer (Euro 5),diesel,North-South Expressway (KL-JB),2026-04-01T11:43:00,2026-04-01T15:36:52.757003,2026,4,1,11,296.43,233.9,76.0,271.2,0.73,1369.69,406778.2,5008.84,22.828,168.65,407694.6,169.03,303.7,916.4,0.38
72,LRQ-0037,DRV-761,Rigid 3-axle (B20 biodiesel),biodiesel-b20,North-South Expressway (KL-JB),2026-04-01T08:41:00,2026-04-01T13:36:42.789937,2026,4,1,8,296.43,295.7,60.1,906.7,0.93,1123.48,331101.0,4076.99,18.725,154.43,424963.4,198.21,1273.6,93862.4,43.78
73,LRQ-0037,DRV-761,Rigid 3-axle (B20 biodiesel),biodiesel-b20,Port Klang - KL Distribution,2026-04-01T14:02:00,2026-04-01T15:04:56.431444,2026,4,1,14,36.51,62.9,34.8,1010.4,0.85,231.78,65276.8,803.78,3.863,30.45,72813.2,33.96,1206.5,7536.4,3.52
74,LRQ-0037,DRV-761,Rigid 3-axle (B20 biodiesel),biodiesel-b20,East Coast (KL-Kuantan),2026-04-01T16:05:00,2026-04-01T20:34:44.901097,2026,4,1,16,214.01,269.7,47.6,69.4,0.81,1213.93,361227.7,4447.95,20.232,168.48,398903.0,186.06,82.2,37675.2,17.57
75,LRQ-0038,DRV-377,Electric rigid (BEV),electric,North-South Expressway (KL-Penang),2026-04-01T18:08:00,2026-04-01T22:38:43.268094,2026,4,1,18,295.24,270.7,65.4,318.4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.1,0.0,0.0
76,LRQ-0038,DRV-377,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T16:58:00,2026-04-01T21:30:30.178066,2026,4,1,16,214.01,272.5,47.1,234.7,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0
77,LRQ-0039,DRV-403,Rigid 3-axle (Euro 4),diesel,North-South Expressway (KL-JB),2026-04-01T13:30:00,2026-04-01T17:24:22.737976,2026,4,1,13,296.43,234.4,75.9,314.4,0.94,1204.08,357049.1,4396.5,20.068,133.23,357848.3,133.53,346.9,799.2,0.3
78,LRQ-0039,DRV-403,Rigid 3-axle (Euro 4),diesel,North-South Expressway (KL-Penang),2026-04-01T15:29:00,2026-04-01T19:43:56.329736,2026,4,1,15,295.24,254.9,69.5,221.4,0.86,1234.0,366430.1,4512.01,20.567,136.73,409980.0,152.98,279.2,43550.0,16.25
79,LRQ-0040,DRV-590,Rigid 3-axle (B20 biodiesel),biodiesel-b20,North-South Expressway (KL-JB),2026-04-01T12:46:00,2026-04-01T16:41:14.516065,2026,4,1,12,296.43,235.2,75.6,474.9,0.9,970.68,287257.4,3537.13,16.178,133.98,287603.3,134.14,523.6,345.9,0.16
80,LRQ-0001,DRV-532,Electric rigid (BEV),electric,KLIA Air-Freight Link,2026-04-02T16:25:00,2026-04-02T17:30:11.304901,2026,4,2,16,43.8,65.2,40.3,245.8,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.1,0.0,0.0
81,LRQ-0001,DRV-532,Electric rigid (BEV),electric,Port Klang - KL Distribution,2026-04-02T13:29:00,2026-04-02T14:23:49.177728,2026,4,2,13,36.51,54.8,40.0,562.1,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.6,0.0,0.0
82,LRQ-0001,DRV-532,Electric rigid (BEV),electric,North-South Expressway (KL-Penang),2026-04-02T13:52:00,2026-04-02T17:49:54.203911,2026,4,2,13,295.24,237.9,74.5,232.3,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.8,0.0,0.0
83,LRQ-0002,DRV-448,Electric rigid (BEV),electric,North-South Expressway (KL-Penang),2026-04-02T08:30:00,2026-04-02T12:55:13.553045,2026,4,2,8,295.24,265.2,66.8,346.7,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.6,0.0,0.0
84,LRQ-0002,DRV-448,Electric rigid (BEV),electric,Port Klang - KL Distribution,2026-04-02T15:14:00,2026-04-02T16:15:15.632018,2026,4,2,15,36.51,61.3,35.8,708.4,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.2,0.0,0.0
85,LRQ-0002,DRV-448,Electric rigid (BEV),electric,Port Klang - KL Distribution,2026-04-02T19:19:00,2026-04-02T20:38:17.290712,2026,4,2,19,36.51,79.3,27.6,1253.6,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2209.2,0.0,0.0
86,LRQ-0003,DRV-982,Rigid 3-axle (B20 biodiesel),biodiesel-b20,KLIA Air-Freight Link,2026-04-02T08:02:00,2026-04-02T09:16:14.848885,2026,4,2,8,43.8,74.2,35.4,322.0,0.4,354.07,104416.0,1285.72,5.901,48.7,252987.8,118.0,519.3,148571.8,69.3
87,LRQ-0003,DRV-982,Rigid 3-axle (B20 biodiesel),biodiesel-b20,North-South Expressway (KL-Penang),2026-04-02T20:15:00,2026-04-03T00:18:57.517142,2026,4,2,20,295.24,244.0,72.6,186.6,0.38,818.67,243196.2,2994.58,13.645,113.43,250774.1,116.97,223.5,7577.9,3.53
88,LRQ-0003,DRV-982,Rigid 3-axle (B20 biodiesel),biodiesel-b20,East Coast (KL-Kuantan),2026-04-02T09:23:00,2026-04-02T14:12:24.893130,2026,4,2,9,214.01,289.4,44.4,429.9,0.57,1244.28,369072.7,4544.55,20.738,172.14,438196.6,204.38,533.5,69124.0,32.24
89,LRQ-0004,DRV-786,Rigid 2-axle (Euro 5),diesel,East Coast (KL-Kuantan),2026-04-02T18:46:00,2026-04-02T23:56:50.372088,2026,4,2,18,214.01,310.8,41.3,364.4,0.71,1263.04,374737.2,4614.3,21.051,164.5,535392.7,235.03,492.8,160655.5,70.52
90,LRQ-0004,DRV-786,Rigid 2-axle (Euro 5),diesel,North-South Expressway (KL-JB),2026-04-02T18:53:00,2026-04-02T23:57:25.650920,2026,4,2,18,296.43,304.4,58.4,723.1,0.76,915.86,269959.1,3324.12,15.264,118.51,401900.8,176.43,1048.8,131941.7,57.92
91,LRQ-0004,DRV-786,Rigid 2-axle (Euro 5),diesel,KLIA Air-Freight Link,2026-04-02T18:17:00,2026-04-02T19:33:27.950210,2026,4,2,18,43.8,76.5,34.4,407.6,0.96,364.7,106936.3,1316.75,6.078,46.94,291876.9,128.13,680.8,184940.6,81.19
